#,Description,Indications,MDCT Protocol
CT 1,"CT Head non-contrast, Normal","R/O bleed, mass, trauma,","Head w/o, 4.5 mm axial"
CT 2,CT Head w/ only,"Mass, infection","Same as above, w/ con"
CT 3,CT Head w/o & w/,"Mass, Known CA, HIV","Same as above, w/ con"
CT 4,CT Sella w/,"Pituitary pathology, if MRI cannot be performed","Sella 1/1 coronal w/ sagittal reformats, then head w/"
CT 10,CT Sinus,Sinus disease,Sinus 3 mm coronals
CT 11,"CT Face/Sinus, Trauma",Facial trauma,"Face 1 mm axial, w/ sagittal & coronal reformats"
CT 12,,"Facial mass, infection","Face 3/2 w/ con, coronal reformats if requested"
CT 15,CT Orbits Trauma,"Orbital trauma, Preop",Orbits 1/1 axial w/coronal reformats
CT 15A,"Head, Orbits w/o",Head + Orbits (Trauma),"Head w/o, then orbits axial 1/1, w/ coronal reformats"
CT 15B,"Head, Orbits w/o w/ coronal reformats","mass, Known CA, HIV",N/A
CT 15C,"Head w & w/o, Orbits w/","Head + Orbits w/ contrast, for infection or staging","Head w/o, then orbits w/ con axial 3/2, then head w/"
CT 16,Orbits w/ con,"Orbits w/ contrast, Infection or Mass","Orbits w/ con, 1/1 axial w/coronal reformats"
CT 20,Temporal bones w/o,"Temporal Bones, Trauma",Temporal bones 1/1 axial w/coronal reformats
CT 21,Temporal bones w/,"infection, Cholesteatoma, Mass",N/A
CT 25,"Neck, soft tissue","Infection, Staging, Mass","Neck w/ con, axial 3/3"
CT 26,Larynx w/o,Laryngeal injury or mass,"Larynx w/o con, axial 1/1"
CT 31,Chest w/ con only,"Mass, Staging, Infection","Chest w/ con, axial 5/5"
CT 32,Chest w/o con,Nodule F/U,"Chest w/o, axial 5/5"
CT 34,HRCT + non con chest,Interstitial lung disease,"Chest w/o, axial 5/5 + HRCT (1/10) supine & prone with 3 expiratory views"
CT 34A,HRCT only,Followup Interstitial lung disease,HRCT (1/10) supine & prone with 3 expiratory views
CT 40,"C/AP w/ con, liver non con","Staging, Mass <--GONE USE 41","Liver w/o, axial 5/5, then C/A/P w/ con, axial 5/5"
CT 41,C/A/P w/ con,"Infection, trauma","C/A/P w/ con, axial 5/5"
